iter	Passed	Remaining
0	133	133629
1	135	67843
2	137	45836
3	139	34833
4	142	28289
5	144	23975
6	146	20805
7	147	18327
8	149	16417
9	150	14906
10	152	13671
11	153	12659
12	154	11760
13	156	11005
14	157	10335
15	158	9738
16	159	9209
17	160	8740
18	161	8325
19	161	7937
20	162	7586
21	163	7270
22	164	6979
23	165	6711
24	165	6463
25	166	6234
26	167	6021
27	167	5825
28	168	5640
29	169	5469
30	169	5307
31	170	5153
32	171	5011
33	171	4876
34	172	4748
35	172	4625
36	173	4512
37	173	4404
38	174	4303
39	175	4206
40	175	4112
41	176	4023
42	176	3937
43	177	3854
44	177	3775
45	178	3698
46	178	3624
47	179	3554
48	179	3486
49	180	3421
50	180	3358
51	180	3297
52	181	3238
53	181	3183
54	182	3129
55	182	3077
56	182	3027
57	183	2978
58	183	2931
59	184	2886
60	184	2841
61	185	2799
62	185	2757
63	185	2717
64	186	2678
65	186	2640
66	186	2603
67	187	2567
68	187	2533
69	188	2499
70	188	2466
71	188	2435
72	189	2405
73	189	2376
74	190	2348
75	190	2320
76	191	2293
77	191	2266
78	192	2239
79	192	2213
80	192	2188
81	193	2164
82	193	2138
83	193	2115
84	194	2092
85	194	2070
86	195	2048
87	195	2027
88	195	2006
89	196	1985
90	196	1966
91	197	1946
92	197	1927
93	197	1908
94	198	1889
95	198	1871
96	199	1853
97	199	1836
98	199	1819
99	200	1802
100	200	1785
101	201	1769
102	201	1753
103	201	1738
104	202	1723
105	202	1708
106	203	1694
107	203	1679
108	203	1665
109	204	1652
110	204	1639
111	205	1626
112	205	1613
113	206	1601
114	206	1588
115	206	1575
116	207	1562
117	207	1550
118	207	1538
119	208	1526
120	208	1515
121	208	1503
122	209	1492
123	209	1481
124	210	1470
125	210	1459
126	210	1448
127	211	1438
128	211	1428
129	212	1419
130	212	1409
131	212	1399
132	213	1389
133	213	1380
134	213	1370
135	214	1361
136	214	1352
137	215	1343
138	215	1334
139	215	1326
140	216	1317
141	216	1308
142	216	1299
143	217	1291
144	217	1283
145	218	1276
146	218	1268
147	219	1260
148	219	1253
149	219	1246
150	220	1239
151	220	1232
152	221	1225
153	221	1218
154	222	1211
155	222	1204
156	222	1196
157	223	1189
158	223	1183
159	224	1176
160	224	1168
161	224	1162
162	225	1155
163	225	1149
164	225	1142
165	226	1136
166	226	1130
167	227	1124
168	227	1118
169	227	1112
170	228	1106
171	228	1100
172	229	1094
173	229	1088
174	229	1083
175	230	1077
176	230	1071
177	230	1066
178	231	1060
179	231	1055
180	232	1050
181	232	1044
182	232	1039
183	233	1034
184	233	1029
185	234	1024
186	234	1019
187	234	1014
188	235	1009
189	235	1005
190	236	1001
191	236	996
192	237	991
193	237	987
194	237	982
195	238	977
196	238	973
197	239	968
198	239	963
199	239	959
200	240	955
201	240	950
202	241	946
203	241	942
204	241	938
205	242	934
206	242	929
207	243	925
208	243	921
209	243	917
210	244	913
211	244	909
212	245	905
213	245	901
214	245	897
215	246	893
216	246	889
217	246	885
218	247	882
219	247	878
220	248	874
221	248	871
222	249	867
223	249	864
224	249	860
225	250	857
226	250	854
227	251	850
228	251	847
229	252	844
230	252	840
231	252	837
232	253	834
233	253	830
234	254	827
235	254	823
236	254	820
237	255	817
238	255	814
239	256	811
240	256	807
241	256	804
242	257	801
243	257	798
244	258	795
245	258	792
246	258	788
247	259	785
248	259	782
249	259	779
250	260	776
251	260	773
252	261	770
253	261	767
254	261	765
